Description,Date,Earned,Paid,Category,Destination,Source,Net,,Balance,Involved
ICS Textbook,2/5/2020,,$21.34,Textbook,,Discover,-$21.34,,$3225.42,Discover
Ultimate Membership,2/10/2020,,$64.00,Fees,,Apple Card,-$64.00,,$3161.42,Apple Card
Tax Refund,2/10/2020,$203.00,$150.00,Work,Checking,Checking,$53.00,,$3214.42,CheckingChecking
Interest,2/10/2020,$2.00,,Interest ,Savings,,$2.00,,$3216.42,Savings
Intro AI Graphic Guid Textbook,2/13/2020,,$5.19,Textbook,,Discover,-$5.19,,$3211.23,Discover
Discover Payment,2/15/2020,$116.94,$116.94,Misc,Discover,Savings,$0.00,,$3211.23,DiscoverSavings
Knives Out,2/15/2020,,$2.00,Entertainment,,Cash,-$2.00,,$3209.23,Cash
Taylor Paycheck,2/21/2020,$36.40,,Work,Savings,,$36.40,,$3245.63,Savings
Nostalgia Night,2/27/2020,,$5.00,Entertainment,,Cash,-$5.00,,$3240.63,Cash
Italian Lunch,2/28/2020,,$8.00,Food,,Cash,-$8.00,,$3232.63,Cash
Diverse Lit Textbook (Shared with Madison),2/28/2020,,$45.00,Textbook,,Cash,-$45.00,,$3187.63,Cash
Apple Card Payment,2/29/2020,$8.04,$8.04,Misc,Apple Card,Savings,$0.00,,$3187.63,Apple CardSavings
Apple Subscription,3/3/2020,,$6.39,Entertainment,,Apple Card,-$6.39,,$3181.24,Apple Card
Ticket Exchange,3/4/2020,$7.00,$7.00,Misc,Cash,Checking,$0.00,,$3181.24,CashChecking
Gillian’s Plant,3/4/2020,,$4.00,Gift,,Cash,-$4.00,,$3177.24,Cash
Enemy of the People,3/6/2020,$7.00,$14.00,Entertainment,Gift Card,Apple Card,-$7.00,,$3170.24,Gift CardApple Card
Taylor Paycheck,3/6/2020,$36.40,,Work,Savings,,$36.40,,$3206.64,Savings
Birthday Card/Eggs,3/7/2020,,$2.11,Food,,Apple Card,-$2.11,,$3204.53,Apple Card
Walmart Groceries,3/7/2020,,$19.54,Groceries,,Apple Card,-$19.54,,$3184.99,Apple Card
Taco Bell,3/7/2020,,$1.27,Food,,Apple Card,-$1.27,,$3183.72,Apple Card
Airband Costumes,3/8/2020,,$9.97,Clothes,,Checking,-$9.97,,$3173.75,Checking
Interest,3/10/2020,$1.74,,Interest ,Savings,,$1.74,,$3175.49,Savings
Discover Payment,3/15/2020,$203.62,$203.62,Misc,Discover,Savings,$0.00,,$3175.49,DiscoverSavings
Backpacking Supplies,3/18/2020,,$31.91,Food,,Discover,-$31.91,,$3143.58,Discover
Spring Break Gas Down,3/19/2020,$20.63,$20.63,Travel,Savings,Apple Card,$0.00,,$3143.58,SavingsApple Card
Taylor Paycheck,3/20/2020,$38.67,,Work,Savings,,$38.67,,$3182.25,Savings
American Ticket Cincinnati —> DFW,3/21/2020,$34.40,$34.40,Travel,Savings,Discover,$0.00,,$3182.25,SavingsDiscover
American Checked Baggage,3/24/2020,$30.00,$30.00,Travel,Savings,Discover,$0.00,,$3182.25,SavingsDiscover
Wendy’s Lunch,3/24/2020,,$5.00,Food,,Checking,-$5.00,,$3177.25,Checking
Spring Break Gas Up,3/24/2020,$17.16,$17.16,Travel,Savings,Discover,$0.00,,$3177.25,SavingsDiscover
Touchnet Transfer,3/25/2020,$33.88,$33.88,Misc,TU Account,Checking,$0.00,,$3177.25,TU AccountChecking
Apple Card Daily Cash,3/25/2020,$7.27,,Rewards,Gift Card,,$7.27,,$3184.52,Gift Card
Discover Rewards,3/25/2020,$50.00,,Rewards,Gift Card,,$50.00,,$3234.52,Gift Card
$36 I forgot I got,3/25/2020,$36.00,,Gift,Cash,,$36.00,,$3270.52,Cash
iCloud Subscription,3/28/2020,,$0.99,Entertainment,,Apple Card,-$0.99,,$3269.53,Apple Card
Apple Card Payment,4/1/2020,$80.99,$80.99,Misc,Apple Card,Savings,$0.00,,$3269.53,Apple CardSavings
Splendor,4/1/2020,,$2.15,Entertainment,,Apple Card,-$2.15,,$3267.38,Apple Card
Amazon Kinde,4/2/2020,,$9.37,Textbook,,Discover,-$9.37,,$3258.01,Discover
Macbook Air,4/3/2020,,$1081.42,Ed Tech,,Apple Card,-$1081.42,,$2176.59,Apple Card
Apple Store Gift card On macbook Air,4/3/2020,$50.00,$50.00,Ed Tech,Apple Card,Gift Card,$0.00,,$2176.59,Apple CardGift Card
Apple Music Subscription,4/3/2020,,$5.40,Entertainment,,Gift Card,-$5.40,,$2171.19,Gift Card
Watch Unbroken,4/4/2020,,$4.00,Entertainment,,Gift Card,-$4.00,,$2167.19,Gift Card
Toilet Paper Brookshire’s,4/6/2020,,$10.81,Groceries,,Apple Card,-$10.81,,$2156.38,Apple Card
Interest,4/10/2020,$1.86,,Interest ,Savings,,$1.86,,$2158.24,Savings
Samsung 512 GB SSD,4/14/2020,,$140.71,Tech,,Discover,-$140.71,,$2017.53,Discover
Discover Payment,4/15/2020,$31.91,$31.91,Misc,Discover,Savings,$0.00,,$2017.53,DiscoverSavings
Taylor Paycheck,4/17/2020,$83.78,,Work,Savings,,$83.78,,$2101.31,Savings
Backpack Cover,4/20/2020,,$7.98,Clothes,,Checking,-$7.98,,$2093.33,Checking
Apple Card Payment,4/30/2020,$63.94,$63.94,Misc,Apple Card,Savings,$0.00,,$2093.33,Apple CardSavings
Game Purchases,4/30/2020,,$1.07,Entertainment,,Gift Card,-$1.07,,$2092.26,Gift Card
Hammock,5/1/2020,,$19.47,Toys,,Discover,-$19.47,,$2072.79,Discover
USB C Dongle,5/1/2020,,$19.47,Tech,,Discover,-$19.47,,$2053.32,Discover
Taylor Paycheck,5/1/2020,$36.40,,Work,Savings,,$36.40,,$2089.72,Savings
Apple Subscription,5/3/2020,,$6.39,Entertainment,,Gift Card,-$6.39,,$2083.33,Gift Card
Apple Card Rewards,5/9/2020,$34.75,,Rewards,Gift Card,,$34.75,,$2118.08,Gift Card
Discover Good Grades Reward,5/10/2020,$20.00,,Grant,Discover,,$20.00,,$2138.08,Discover
Interest,5/10/2020,$3.77,,Interest ,Savings,,$3.77,,$2141.85,Savings
American DFW —> CIN,5/15/2020,$178.10,$178.10,Travel,Savings,Discover,$0.00,,$2141.85,SavingsDiscover
CARES Act Reimbursement for travel ($300),5/15/2020,$19.71,,Grant,Savings,,$19.71,,$2161.56,Savings
Taylor Paycheck,5/15/2020,$36.40,,Work,Savings,,$36.40,,$2197.96,Savings
Discover Payment,5/15/2020,$231.64,$231.64,Misc,Discover,Savings,$0.00,,$2197.96,DiscoverSavings
Posados Mexican Lunch w/ Daniel & Gavin,5/22/2020,$9.73,$19.47,Food,Checking,Discover,-$9.74,,$2188.22,CheckingDiscover
Walmart Groceries 1,5/22/2020,$77.80,$165.55,Groceries,Checking,Discover,-$87.75,,$2100.47,CheckingDiscover
Ryan’s Cash,5/22/2020,$40.00,$40.00,Misc,Cash,Checking,$0.00,,$2100.47,CashChecking
Shoes & Socks from Academy Sports,5/22/2020,,$93.06,Clothes,,Apple Card,-$93.06,,$2007.41,Apple Card
Goodwill Clothes,5/24/2020,,$23.00,Clothes,,Discover,-$23.00,,$1984.41,Discover
Apple Card Payment,5/30/2020,$1044.38,$1044.38,Misc,Apple Card,Savings,$0.00,,$1984.41,Apple CardSavings
Apple Subscription,6/3/2020,,$6.39,Entertainment,,Gift Card,-$6.39,,$1978.02,Gift Card
Summer Housing,6/3/2020,$60.00,$480.00,Housing,TU Account,Savings,-$420.00,,$1558.02,TU AccountSavings
$100 payment to Taylor,6/3/2020,$100.00,$100.00,Misc,TU Account,Checking,$0.00,,$1558.02,TU AccountChecking
Prepaid College,6/3/2020,$160.00,$160.00,Misc,Savings,TU Account,$0.00,,$1558.02,SavingsTU Account
Goodwill Clothes,6/6/2020,,$21.00,Clothes,,Discover,-$21.00,,$1537.02,Discover
Walmart Bike Stuff,6/6/2020,,$26.62,Transportation,,Discover,-$26.62,,$1510.40,Discover
Taco Bell Dinner,6/7/2020,,$7.48,Food,,Discover,-$7.48,,$1502.92,Discover
Walmart Twins 2,6/7/2020,$3.00,$23.31,Groceries,Cash,Discover,-$20.31,,$1482.61,CashDiscover
Walmart Shared 2,6/9/2020,,$44.98,Groceries,,Checking,-$44.98,,$1437.63,Checking
Interest,6/10/2020,$2.90,,Interest ,Savings,,$2.90,,$1440.53,Savings
Apple Card Rewards,6/11/2020,$1.86,,Rewards,Gift Card,,$1.86,,$1442.39,Gift Card
Taylor Paycheck,6/12/2020,$903.75,,Work,Savings,,$903.75,,$2346.14,Savings
Banana Bread Stuff,6/14/2020,$2.00,$11.45,Groceries,Checking,Apple Card,-$9.45,,$2336.69,CheckingApple Card
Discover Payment,6/15/2020,$167.04,$167.04,Misc,Discover,Savings,$0.00,,$2336.69,DiscoverSavings
Transfer,6/21/2020,$200.00,$200.00,Misc,Checking,Savings,$0.00,,$2336.69,CheckingSavings
Walmart Shared 3,6/21/2020,,$50.00,Groceries,,Checking,-$50.00,,$2286.69,Checking
American DFW —> IND,6/23/2020,,$98.10,Travel,,Discover,-$98.10,,$2188.59,Discover
CARES Check,6/24/2020,$300.00,,Grant,Savings,,$300.00,,$2488.59,Savings
Taylor Paycheck,6/26/2020,$1395.62,,Work,Savings,,$1395.62,,$3884.21,Savings
Flour for Cookies,6/28/2020,,$5.08,Groceries,,Apple Card,-$5.08,,$3879.13,Apple Card
Apple Card Payment,7/1/2020,$93.06,$93.06,Misc,Apple Card,Savings,$0.00,,$3879.13,Apple CardSavings
Apple Subscription,7/3/2020,,$6.39,Entertainment,,Gift Card,-$6.39,,$3872.74,Gift Card
Walmart Shared 4,7/7/2020,,$36.00,Groceries,,Checking,-$36.00,,$3836.74,Checking
Dr. Brandle Spicy Sauce,7/7/2020,,$5.00,Gift,,Checking,-$5.00,,$3831.74,Checking
Taylor Paycheck,7/10/2020,$1423.38,,Work,Savings,,$1423.38,,$5255.12,Savings
Interest,7/10/2020,$2.80,,Interest ,Savings,,$2.80,,$5257.92,Savings
Boating Gas,7/11/2020,,$10.00,Entertainment,,Checking,-$10.00,,$5247.92,Checking
Ice Cream,7/11/2020,,$4.99,Food,,Checking,-$4.99,,$5242.93,Checking
Discover Payment,7/15/2020,$316.43,$316.43,Misc,Discover,Savings,$0.00,,$5242.93,DiscoverSavings
Masks and Innertube,7/18/2020,,$26.89,Groceries,,Discover,-$26.89,,$5216.04,Discover
Walmart Shared 5,7/18/2020,,$14.50,Groceries,,Checking,-$14.50,,$5201.54,Checking
Ivanhoes Venmo,7/20/2020,,$7.50,Food,,Checking,-$7.50,,$5194.04,Checking
Apple TV Ebay,7/22/2020,,$117.70,Tech,,Discover,-$117.70,,$5076.34,Discover
Daniel’s Wedding Gift,7/22/2020,,$25.00,Gift,,Checking,-$25.00,,$5051.34,Checking
Mexican Dinner,7/23/2020,$9.00,$17.21,Food,Gift Card,Discover,-$8.21,,$5043.13,Gift CardDiscover
Jason’s Deli,7/23/2020,,$8.65,Food,,Discover,-$8.65,,$5034.48,Discover
JC Penny Dress Shoes,7/23/2020,,$70.35,Clothes,,Discover,-$70.35,,$4964.13,Discover
Taylor Paycheck,7/24/2020,$1409.50,,Work,Savings,,$1409.50,,$6373.63,Savings
Gas Taylor —> Texas,7/25/2020,,$20.00,Travel,,Gift Card,-$20.00,,$6353.63,Gift Card
Culvers-Ice Cream,7/27/2020,,$2.00,Food,,Checking,-$2.00,,$6351.63,Checking
Walmart Trip 5,8/1/2020,$105.00,$144.17,Groceries,Checking,Discover,-$39.17,,$6312.46,CheckingDiscover
Paid via apple pay,8/1/2020,$30.00,$30.00,Misc,Gift Card,Checking,$0.00,,$6312.46,Gift CardChecking
Drive in Movie,8/1/2020,,$5.00,Entertainment,,Checking,-$5.00,,$6307.46,Checking
Apple Card Payment,8/3/2020,$16.53,$16.53,Misc,Apple Card,Savings,$0.00,,$6307.46,Apple CardSavings
Apple Subscription,8/3/2020,,$6.39,Entertainment,,Gift Card,-$6.39,,$6301.07,Gift Card
5 Unaccounted For Extra Dollars,8/5/2020,$5.73,,Misc,Gift Card,,$5.73,,$6306.80,Gift Card
Taylor Paycheck,8/7/2020,$650.24,,Work,Savings,,$650.24,,$6957.04,Savings
Bike Inner Tubes,8/8/2020,,$10.00,Transportation,,Checking,-$10.00,,$6947.04,Checking
Subway Lunch,8/9/2020,,$3.74,Food,,Checking,-$3.74,,$6943.30,Checking
Interest,8/10/2020,$4.95,,Interest ,Savings,,$4.95,,$6948.25,Savings
Taylor Paycheck,8/14/2020,$1423.38,,Work,Savings,,$1423.38,,$8371.63,Savings
Direct College Fall 2020,8/16/2020,,$448.00,Direct College,,Savings,-$448.00,,$7923.63,Savings
Computer Security Textbook,8/16/2020,$8.90,$17.80,Textbook,Checking,Discover,-$8.90,,$7914.73,CheckingDiscover
Ultimate Frisbee Gloves,8/16/2020,,$26.74,Clothes,,Discover,-$26.74,,$7887.99,Discover
Soundcore Speaker,8/16/2020,,$46.00,Tech,,Discover,-$46.00,,$7841.99,Discover
Essential Oils,8/16/2020,,$10.69,Cosmetics,,Discover,-$10.69,,$7831.30,Discover
Software Engineering Textbook,8/16/2020,,$39.54,Textbook,,Discover,-$39.54,,$7791.76,Discover
Discover Payment,8/17/2020,$98.10,$98.10,Misc,Discover,Savings,$0.00,,$7791.76,DiscoverSavings
FOSO Floor Dues,8/17/2020,,$20.00,Fees,,Checking,-$20.00,,$7771.76,Checking
FOSO Pizza,8/22/2020,,$5.00,Food,,Checking,-$5.00,,$7766.76,Checking
Walmart: Fridge & Lunch,8/22/2020,$45.00,$127.11,Groceries,Checking,Discover,-$82.11,,$7684.65,CheckingDiscover
Church Gas,8/23/2020,,$6.00,Travel,,Checking,-$6.00,,$7678.65,Checking
MOB And Game,8/23/2020,,$86.68,M,,Discover,-$86.68,,$7591.97,Discover
Tenant Drive In Movie (double date),8/26/2020,,$10.00,M,,Checking,-$10.00,,$7581.97,Checking
Subway,8/27/2020,,$16.55,M,,Apple Card,-$16.55,,$7565.42,Apple Card
Walmart: Grace Care Package,8/30/2020,,$35.32,Gift,,Discover,-$35.32,,$7530.10,Discover
Apple Subscription,9/3/2020,,$6.39,Entertainment,,Gift Card,-$6.39,,$7523.71,Gift Card
Taylor Paycheck,9/4/2020,$115.33,,Work,Savings,,$115.33,,$7639.04,Savings
FOSO Sticker,9/5/2020,,$1.00,Fees,,Cash,-$1.00,,$7638.04,Cash
CCSC Conference,9/10/2020,,$20.00,Textbook,,Discover,-$20.00,,$7618.04,Discover
Interest,9/10/2020,$5.29,,Interest ,Savings,,$5.29,,$7623.33,Savings
Godspell (req Arts & Ideas),9/12/2020,,$10.00,Textbook,,Discover,-$10.00,,$7613.33,Discover
Ultimate Frisbee Fee,9/14/2020,,$25.00,Fees,,Checking,-$25.00,,$7588.33,Checking
First Date: Walnut Creek,9/15/2020,,$6.48,M,,Apple Card,-$6.48,,$7581.85,Apple Card
Discover Payment,9/16/2020,$525.74,$525.74,Misc,Discover,Savings,$0.00,,$7581.85,DiscoverSavings
Meijer Snacks,9/19/2020,,$7.81,Groceries,,Apple Card,-$7.81,,$7574.04,Apple Card
Tenet Movie,9/19/2020,,$8.78,Entertainment,,Apple Card,-$8.78,,$7565.26,Apple Card
Urban Light Tithe,9/26/2020,,$20.00,Tithe (Legal),,Discover,-$20.00,,$7545.26,Discover
Stickers,10/1/2020,,$6.99,Office Supplies,,Checking,-$6.99,,$7538.27,Checking
American Opportunity Credit,10/2/2020,$1016.75,,Grant,Savings,,$1016.75,,$8555.02,Savings
Camping Trip Food,10/2/2020,$11.00,$16.61,Groceries,Checking,Gift Card,-$5.61,,$8549.41,CheckingGift Card
 Cash Rewards,10/2/2020,$0.80,,Rewards,Gift Card,,$0.80,,$8550.21,Gift Card
Apple Subscription,10/3/2020,,$6.39,Entertainment,,Gift Card,-$6.39,,$8543.82,Gift Card
Interest,10/10/2020,$4.47,,Interest ,Savings,,$4.47,,$8548.29,Savings
Teacup,10/12/2020,$5.15,$10.99,M,Discover,Discover,-$5.84,,$8542.45,DiscoverDiscover
Double Hammock,10/12/2020,,$22.99,M,,Discover,-$22.99,,$8519.46,Discover
Masks,10/12/2020,,$19.98,Clothes,,Discover,-$19.98,,$8499.48,Discover
Arts & Ideas Craft Supplies,10/15/2020,,$1.50,Fees,,Checking,-$1.50,,$8497.98,Checking
Discover Payment,10/16/2020,$279.11,$279.11,Misc,Discover,Savings,$0.00,,$8497.98,DiscoverSavings
Meijer Doughnut,10/18/2020,,$0.71,Food,,Gift Card,-$0.71,,$8497.27,Gift Card
FOSO Nerf Hungergames PAD,10/22/2020,,$15.00,Entertainment,,Checking,-$15.00,,$8482.27,Checking
AA Flight South Bend —> Witchita,10/22/2020,,$124.20,Travel,,Discover,-$124.20,,$8358.07,Discover
Mygen Ticket,10/22/2020,,$5.87,Entertainment,,Discover,-$5.87,,$8352.20,Discover
Urban Light Tithe,10/26/2020,,$20.00,Tithe (Legal),,Discover,-$20.00,,$8332.20,Discover
Apple Card Payment,11/2/2020,$39.62,$39.62,Misc,Apple Card,Savings,$0.00,,$8332.20,Apple CardSavings
Apple Subscription,11/2/2020,,$1.20,Entertainment,,Apple Card,-$1.20,,$8331.00,Apple Card
Apple Subscription,11/3/2020,,$5.19,Entertainment,,Gift Card,-$5.19,,$8325.81,Gift Card
Mosaic Night,11/6/2020,,$6.94,Entertainment,,Discover,-$6.94,,$8318.87,Discover
Hungergames PAD Shirt,11/7/2020,,$6.99,M,,Checking,-$6.99,,$8311.88,Checking
Unknown iTunes Difference,11/7/2020,,$5.40,Misc,,Gift Card,-$5.40,,$8306.48,Gift Card
Interest,11/10/2020,$4.25,,Interest ,Savings,,$4.25,,$8310.73,Savings
The Little Prince Tickets,11/12/2020,,$13.99,Fees,,Checking,-$13.99,,$8296.74,Checking
Fancy Dinner Date Baker Street Steakhouse,11/13/2020,,$96.25,M,,Discover,-$96.25,,$8200.49,Discover
Ed/Becky Appreciation,11/13/2020,,$3.00,Gift,,Checking,-$3.00,,$8197.49,Checking
Goodwill Shoes,11/14/2020,,$5.34,Clothes,,Apple Card,-$5.34,,$8192.15,Apple Card
Discover Payment,11/15/2020,$68.81,$68.81,Misc,Discover,Savings,$0.00,,$8192.15,DiscoverSavings
Gerig Thanksgiving,11/15/2020,,$3.00,Food,,Checking,-$3.00,,$8189.15,Checking
Urban Light Tithe,11/26/2020,,$20.00,Tithe (Legal),,Discover,-$20.00,,$8169.15,Discover
South Bend Chocolate Factory,11/27/2020,,$6.77,M,,Apple Card,-$6.77,,$8162.38,Apple Card
Apple Subscription,11/28/2020,,$0.99,Entertainment,,Apple Card,-$0.99,,$8161.39,Apple Card
 Cash Rewards,12/1/2020,$49.97,$49.69,Rewards, Cash,Gift Card,$0.28,,$8161.67, CashGift Card
Burger King Breakfast,12/3/2020,,$5.34,Food,,Discover,-$5.34,,$8156.33,Discover
AA Flight South Bend —> Witchita (extension),12/3/2020,,$38.40,Travel,,Discover,-$38.40,,$8117.93,Discover
Apple Subscription,12/4/2020,,$5.40,Entertainment,,Discover,-$5.40,,$8112.53,Discover
Panda Express Lunch,12/6/2020,,$11.00,Food,,Discover,-$11.00,,$8101.53,Discover
Interest,12/10/2020,$4.05,,Interest ,Savings,,$4.05,,$8105.58,Savings
B-day from Swansons,12/11/2020,$40.00,,Gift,Cash,,$40.00,,$8145.58,Cash
Taco Salad Lunch,12/12/2020,,$10.27,Food,,Checking,-$10.27,,$8135.31,Checking
Walmart PJs & Groceries,12/13/2020,,$44.68,Groceries,,Discover,-$44.68,,$8090.63,Discover
2008 Ford Focus,12/14/2020,,$1500.00,Transportation,,Savings,-$1500.00,,$6590.63,Savings
B-day from Campbells,12/14/2020,$21.00,,Gift,Checking,,$21.00,,$6611.63,Checking
Amazon: Christmas/B-Day Gifts,12/15/2020,,$19.19,Gift,,Discover,-$19.19,,$6592.44,Discover
DFW Entrance,12/15/2020,,$2.00,Travel,,Discover,-$2.00,,$6590.44,Discover
Bertha Gas,12/15/2020,,$33.78,Travel,,Discover,-$33.78,,$6556.66,Discover
Discover Payment,12/16/2020,$253.26,$253.26,Misc,Discover,Savings,$0.00,,$6556.66,DiscoverSavings
LinkedIn Learning,12/17/2020,,$27.05,Education,,Discover,-$27.05,,$6529.61,Discover
Amazon: Christmas Gifts (pending),12/18/2020,$9.00,$132.02,Gift,Checking,Discover,-$123.02,,$6406.59,CheckingDiscover
Liberty Mutual Car Insurance,12/21/2020,,$45.16,Transportation,,Checking,-$45.16,,$6361.43,Checking
LOTR & Hobbit Movies for Liz,12/23/2020,,$42.02,Gift,,Discover,-$42.02,,$6319.41,Discover
Car registration fee,12/23/2020,,$127.87,Transportation,,Discover,-$127.87,,$6191.54,Discover
Amazon Gift Card from McKennas,12/25/2020,$50.00,,Gift,Gift Card,,$50.00,,$6241.54,Gift Card
Urban Light Tithe,12/26/2020,,$20.00,Tithe (Legal),,Discover,-$20.00,,$6221.54,Discover
Walmart Car Tools,12/27/2020,,$84.93,Transportation,,Discover,-$84.93,,$6136.61,Discover
Safari Darkmode Extension,12/27/2020,,$3.24,Tech,,Discover,-$3.24,,$6133.37,Discover
Walmart Trip Food,12/28/2020,,$4.60,Food,,Checking,-$4.60,,$6128.77,Checking
Christmas Money from Campbels,12/28/2020,$50.00,,Gift,Checking,,$50.00,,$6178.77,Checking
Ford Focus Break Work,12/28/2020,,$1075.33,Transportation,,Savings,-$1075.33,,$5103.44,Savings
Apple Subscription,12/29/2020,,$6.39,Entertainment,,Discover,-$6.39,,$5097.05,Discover
Neurolense Glasses,12/29/2020,,$646.00,Health,,Discover,-$646.00,,$4451.05,Discover
Gas Van,12/30/2020,,$16.73,Transportation,,Apple Card,-$16.73,,$4434.32,Apple Card
Gas Van —> Wichita,12/30/2020,,$20.85,Travel,,Discover,-$20.85,,$4413.47,Discover
Apple Card Payment,12/31/2020,$14.30,$14.30,Misc,Apple Card,Savings,$0.00,,$4413.47,Apple CardSavings
J-Term Housing,1/1/2021,,$1181.00,Housing,,Savings,-$1181.00,,$3232.47,Savings
Insurance auto Transfer,1/1/2021,$46.17,$46.17,Misc,Checking,Savings,$0.00,,$3232.47,CheckingSavings
Direct College J-Term/Spring 2021,1/2/2021,,$444.00,Direct College,,Savings,-$444.00,,$2788.47,Savings
Kansas Gas,1/3/2021,$10.00,$15.85,Travel,Checking,Discover,-$5.85,,$2782.62,CheckingDiscover
Illinois Gas,1/3/2021,,$23.31,Travel,,Discover,-$23.31,,$2759.31,Discover
Interest,1/10/2021,$2.64,,Interest ,Savings,,$2.64,,$2761.95,Savings
Discover Payment,1/19/2021,$338.86,$338.86,Misc,Discover,Savings,$0.00,,$2761.95,DiscoverSavings
Discover Rewards,1/21/2021,$55.00,,Rewards,Gift Card,,$55.00,,$2816.95,Gift Card
Taylor Paycheck,1/22/2021,$236.51,,Work,Savings,,$236.51,,$3053.46,Savings
Upland Gas,1/23/2021,,$24.29,Transportation,,Discover,-$24.29,,$3029.17,Discover
Walmart M Gifts,1/25/2021,,$30.83,M,,Discover,-$30.83,,$2998.34,Discover
Amazon M Gifts,1/25/2021,,$43.68,M,,Gift Card,-$43.68,,$2954.66,Gift Card
Urban Light Tithe,1/26/2021,,$20.00,Tithe (Legal),,Discover,-$20.00,,$2934.66,Discover
Walmart Date,1/28/2021,,$5.19,M,,Checking,-$5.19,,$2929.47,Checking
Apple Subscription,1/28/2021,,$6.39,Entertainment,,Discover,-$6.39,,$2923.08,Discover
Apple Developer Program Enrollment,1/31/2021,,$107.17,Education,,Apple Card,-$107.17,,$2815.91,Apple Card
Insurance auto Transfer,2/1/2021,$46.17,$46.17,Transportation,Checking,Savings,$0.00,,$2815.91,CheckingSavings
Apple Card Payment,2/1/2021,$16.73,$16.73,Misc,Apple Card,Savings,$0.00,,$2815.91,Apple CardSavings
Amazon Textbooks,2/1/2021,$20.00,$80.50,Textbook,Checking,Discover,-$60.50,,$2755.41,CheckingDiscover
Amazon Gift Card towards textbook,2/1/2021,$6.32,$6.32,Textbook,Discover,Gift Card,$0.00,,$2755.41,DiscoverGift Card
The Visitor Movie Youtube,2/3/2021,,$2.15,M,,Discover,-$2.15,,$2753.26,Discover
Liberty Mutual Car Insurance,2/4/2021,,$49.79,Transportation,,Checking,-$49.79,,$2703.47,Checking
Taylor Paycheck,2/5/2021,$232.95,,Work,Savings,,$232.95,,$2936.42,Savings
Apple Card Daily Cash,2/6/2021,$3.55,,Rewards, Cash,,$3.55,,$2939.97, Cash
Interest,2/10/2021,$1.54,,Interest ,Savings,,$1.54,,$2941.51,Savings
Haircut by Tessa,2/10/2021,,$10.00,Cosmetics,,Checking,-$10.00,,$2931.51,Checking
ACM Membership,2/12/2021,,$42.00,Textbook,,Discover,-$42.00,,$2889.51,Discover
IEEE Membership,2/12/2021,,$32.00,Textbook,,Discover,-$32.00,,$2857.51,Discover
Nathan B-Day Mexican Lunch,2/14/2021,,$26.84,Food,,Discover,-$26.84,,$2830.67,Discover
Flowers for 5G,2/14/2021,,$1.00,Gift,,Checking,-$1.00,,$2829.67,Checking
Discover Payment,2/15/2021,$990.46,$990.46,Misc,Discover,Savings,$0.00,,$2829.67,DiscoverSavings
Taylor Aquatic ferret  Fee,2/16/2021,,$25.00,Fees,,Checking,-$25.00,,$2804.67,Checking
Airband Set,2/16/2021,,$5.00,Entertainment,,Checking,-$5.00,,$2799.67,Checking
Dollar General,2/19/2021,,$2.46,Food,,Discover,-$2.46,,$2797.21,Discover
Taylor Paycheck,2/19/2021,$24.00,,Work,Savings,,$24.00,,$2821.21,Savings
Gas,2/19/2021,,$27.53,Transportation,,Apple Card,-$27.53,,$2793.68,Apple Card
Urban Light Tithe,2/26/2021,,$20.00,Tithe (Legal),,Discover,-$20.00,,$2773.68,Discover
Insurance auto Transfer,3/1/2021,$46.18,$46.17,Travel,Checking,Savings,$0.01,,$2773.69,CheckingSavings
Walmart Date & Groceries,3/4/2021,,$56.95,M,,Discover,-$56.95,,$2716.74,Discover
Apple Subscription,3/4/2021,,$6.39,Entertainment,,Discover,-$6.39,,$2710.35,Discover
Liberty Mutual Car Insurance,3/4/2021,,$49.80,Transportation,,Checking,-$49.80,,$2660.55,Checking
South Bend Chocolate Factory,3/7/2021,,$6.77,M,,Discover,-$6.77,,$2653.78,Discover
Meijer Groceries,3/7/2021,,$5.73,Groceries,,Apple Card,-$5.73,,$2648.05,Apple Card
Interest,3/10/2021,$1.15,,Interest ,Savings,,$1.15,,$2649.20,Savings
Discover Payment,3/15/2021,$258.68,$258.68,Misc,Discover,Savings,$0.00,,$2649.20,DiscoverSavings
Goodwill Clothes,3/20/2021,,$25.00,Clothes,,Discover,-$25.00,,$2624.20,Discover
Taco Bell,3/20/2021,,$12.68,M,,Discover,-$12.68,,$2611.52,Discover
Stimulus Check 1&2,3/26/2021,$1800.00,,Grant,Savings,,$1800.00,,$4411.52,Savings
2020 Taxes,3/26/2021,$564.00,$442.00,Work,Savings,Savings,$122.00,,$4533.52,SavingsSavings
Urban Light Tithe,3/26/2021,,$20.00,Tithe (Legal),,Discover,-$20.00,,$4513.52,Discover
Apple Subscription,3/28/2021,,$6.39,Entertainment,,Discover,-$6.39,,$4507.13,Discover
Apple Card Payment,3/31/2021,$134.70,$134.70,Misc,Apple Card,Savings,$0.00,,$4507.13,Apple CardSavings
Gas,3/31/2021,,$33.74,Transportation,,Apple Card,-$33.74,,$4473.39,Apple Card
Insurance auto Transfer,4/1/2021,$46.17,$46.17,Misc,Checking,Savings,$0.00,,$4473.39,CheckingSavings
Airband,4/2/2021,,$6.94,Entertainment,,Discover,-$6.94,,$4466.45,Discover
CARES Check,4/6/2021,$450.00,,Grant,Savings,,$450.00,,$4916.45,Savings
